60
0 425.326 459.563 860 2844 2843 0
1 94.1435 269.012 807 2722 2694 0
2 345.251 126.223 877 2588 2711 0
3 257.103 130.422 788 2643 2692 0
4 233.788 279.566 906 2916 2854 0
5 333.772 203.09 852 2772 2847 0
6 393.069 306.424 915 2877 2900 0
7 141.3 323.353 846 2613 2721 0
8 260.279 7.33996 821 2735 2805 0
9 173.391 190.195 840 2688 2659 0
10 309.635 42.8054 854 2725 2727 0
11 349.832 119.426 829 2816 2729 0
12 430.08 360.732 856 2694 2737 0
13 22.2606 133.501 857 2614 2679 0
14 226.744 392.731 873 2849 2785 0
15 152.272 237.328 850 2714 2790 0
16 491.595 230.161 819 2656 2541 0
17 72.6782 2.82051 811 2645 2634 0
18 178.889 94.9353 863 2848 2895 0
19 292.732 443.285 810 2678 2750 0
20 74.5571 80.89 800 2623 2785 0
21 419.065 226.895 883 2747 2787 0
22 446.334 29.7653 827 2548 2762 0
23 5.91049 337.526 876 2844 2845 0
24 211.307 432.887 830 2786 2709 0
25 152.274 273.349 877 2942 2783 0
26 72.6406 369.832 807 2602 2667 0
27 69.1401 37.6442 815 2874 2760 0
28 450.805 174.141 820 2704 2698 0
29 116.436 447.155 818 2663 2605 0
30 175.334 343.044 854 2713 2790 0
31 41.0022 124.281 837 2730 2777 0
32 227.835 219.02 847 2622 2749 0
33 397.106 153.466 877 2691 2684 0
34 39.5953 477.489 875 2835 2819 0
35 321.996 287.078 844 2699 2702 0
36 433.844 122.957 877 2836 2688 0
37 52.7206 74.9531 799 2666 2530 0
38 466.175 498.904 817 2679 2861 0
39 392.102 55.5086 858 2611 2744 0
40 367.41 52.6522 875 2921 2723 0
41 91.1261 57.2035 870 2930 2778 0
42 67.6219 21.5478 871 2800 2733 0
43 390.135 495.52 904 2769 2807 0
44 246.584 330.114 841 2701 2775 0
45 210.558 347.236 857 2607 2697 0
46 30.2406 253.322 878 2741 2927 0
47 472.836 461.193 855 2750 2754 0
48 477.03 447.858 872 2589 2739 0
49 53.7173 326.271 830 2888 2852 0
50 429.158 357.653 811 2743 2802 0
51 275.016 200.058 843 2815 2741 0
52 234.94 144.77 841 2779 2747 0
53 339.878 323.097 875 2765 2761 0
54 249.744 439.7 852 2691 2677 0
55 59.9361 345.993 883 2861 2879 0
56 127.666 181.505 867 2825 2732 0
57 177.994 44.6864 822 2741 2716 0
58 259.754 182.545 771 2624 2694 0
59 321.103 277.796 850 2795 2740 0
108
0 12
0 38
0 43
0 47
1 7
1 15
1 25
1 46
1 49
2 3
2 5
2 11
2 33
2 58
3 10
3 52
3 58
4 25
4 32
4 44
4 59
5 21
5 33
5 51
5 59
6 21
6 50
6 53
7 25
7 26
7 30
7 55
8 10
8 57
9 15
9 18
9 32
9 52
9 56
10 11
10 40
11 33
11 40
12 19
12 48
12 50
13 31
13 46
14 24
14 45
14 54
15 25
15 32
15 56
16 21
16 28
17 42
18 41
18 52
18 56
18 57
19 43
19 53
19 54
20 31
20 37
20 41
20 56
21 28
21 33
21 59
22 36
22 39
23 46
23 49
24 29
24 54
26 29
26 34
26 55
27 37
27 41
27 42
28 33
28 36
29 30
29 34
30 45
31 37
31 56
32 51
32 58
33 36
35 44
35 53
35 59
36 39
38 47
39 40
41 57
44 45
44 53
46 49
47 48
49 55
51 58
51 59
52 58
4 4 0.05 0.05 0.05 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
