100
0 386.295 465.779 500 1696 1644 0
1 221.38 239.723 509 1565 1641 0
2 329.439 378.247 551 1651 1698 0
3 145.897 95.335 524 1682 1637 0
4 350.807 6.07024 484 1543 1591 0
5 361.378 173.508 502 1735 1811 0
6 116.352 22.2193 520 1710 1652 0
7 111.094 161.493 516 1732 1712 0
8 485.242 459.364 482 1640 1686 0
9 236.488 153.654 514 1664 1610 0
10 45.3653 454.16 493 1577 1521 0
11 426.742 246.157 498 1602 1568 0
12 100.072 407.22 481 1618 1592 0
13 53.8596 217.493 533 1684 1672 0
14 497.233 487.77 534 1679 1663 0
15 154.972 119.024 478 1519 1626 0
16 73.3567 406.498 465 1455 1532 0
17 368.074 214.225 499 1671 1662 0
18 332.465 239.927 494 1688 1636 0
19 247.915 206.815 499 1622 1686 0
20 277.115 471.274 493 1651 1527 0
21 393.704 489.485 503 1589 1612 0
22 36.6567 89.3541 493 1629 1735 0
23 148.341 162.881 486 1519 1629 0
24 395.844 455.749 527 1682 1727 0
25 10.2446 181.458 534 1738 1699 0
26 371.51 462.992 496 1669 1697 0
27 198.08 127.365 489 1565 1631 0
28 269.528 455.692 517 1604 1692 0
29 491.268 235.596 526 1515 1625 0
30 17.3385 407.8 515 1714 1735 0
31 403.876 442.027 526 1662 1700 0
32 322.974 223.937 488 1594 1643 0
33 372.004 274.268 487 1647 1554 0
34 442.027 151.135 499 1611 1696 0
35 95.5202 408.381 515 1742 1655 0
36 189.883 359.865 513 1706 1697 0
37 122.578 175.29 544 1774 1822 0
38 183.149 176.846 506 1674 1627 0
39 23.0364 173.176 480 1604 1600 0
40 271.714 189.586 527 1801 1775 0
41 287.989 222.85 525 1781 1788 0
42 294.766 124.369 564 1623 1671 0
43 297.948 116.758 516 1654 1667 0
44 113.801 147.94 491 1472 1662 0
45 422.57 136.622 506 1640 1588 0
46 52.1597 148.604 490 1653 1593 0
47 271.91 488.631 501 1654 1669 0
48 225.599 137.464 542 1712 1817 0
49 134.55 390.054 504 1601 1542 0
50 165.657 203.73 525 1642 1559 0
51 66.1141 179.216 484 1587 1546 0
52 11.7307 157.398 485 1628 1562 0
