150
0 244.352 316.781 333 1026 1100 0
1 215.157 146.998 335 1134 1117 0
2 94.2123 425.476 317 1002 1050 0
3 212.044 323.027 354 1129 1030 0
4 122.128 111.891 313 1049 1027 0
5 76.8714 478.102 334 1070 1059 0
6 468.993 367.28 326 1085 1010 0
7 144.984 239.192 311 1077 981 0
8 396.217 220.503 339 1108 1015 0
9 171.561 430.357 339 1052 969 0
10 156.689 473.935 339 1138 1105 0
11 308.492 319.122 346 1085 1100 0
12 271.295 151.696 359 1107 1133 0
13 219.06 247.499 355 1140 1141 0
14 485.233 311.321 377 1134 1240 0
15 190.01 491.059 342 1186 1049 0
16 417.992 187.419 352 1233 1168 0
17 120.256 134.527 333 1164 1139 0
18 356.796 176.384 299 1024 1018 0
19 202.679 426.829 344 1126 1186 0
20 158.757 222.314 346 1160 1027 0
21 377.344 16.7708 340 1043 1130 0
22 480.255 138.711 354 1093 1183 0
23 267.432 232.538 328 1059 1082 0
24 217.147 92.5248 373 1165 1167 0
25 363.216 70.4916 337 1058 1066 0
26 23.7261 263.856 340 1044 1117 0
27 250.064 319.957 325 1004 1009 0
28 25.1716 58.7613 339 1130 1062 0
29 234.136 120.421 326 1100 1047 0
30 159.692 440.544 341 1159 1129 0
31 269.116 34.5988 316 1139 1039 0
32 122.243 43.6893 316 1040 1044 0
33 10.8847 439.28 350 1126 1099 0
34 384.623 365.709 319 1088 1166 0
35 360.77 457.012 334 1190 1047 0
36 262.726 131.142 312 1077 1001 0
37 318.286 426.47 328 1049 1106 0
38 414.48 167.982 313 1011 1092 0
39 93.3904 113.264 342 1025 1129 0
40 55.882 207.943 348 1201 1130 0
41 127.489 213.758 316 1003 1044 0
42 356.69 390.669 327 1109 1060 0
43 325.828 194.751 348 1053 1011 0
44 260.034 391.237 333 1074 1134 0
45 140.73 249.684 358 1188 1103 0
46 437.276 296.087 311 1096 1052 0
47 92.4985 122.296 327 1126 1036 0
48 365.613 360.132 360 1141 1196 0
49 24.784 44.9877 315 1079 1039 0
50 73.087 372.847 339 982 1127 0
51 324.469 347.091 289 995 938 0
52 216.524 116.914 337 1199 1159 0
53 476.236 90.883 335 1101 1101 0
54 392.84 456.312 324 1098 1090 0
