500
0 39.0 43.0 6.0 304.0 51.0
1 39.0 65.0 18.0 198.0 46.0
2 19.0 47.0 14.0 206.0 69.0
3 12.0 63.0 18.0 93.0 26.0
4 19.0 46.0 4.0 395.0 28.0
5 85.0 70.0 6.0 69.0 18.0
6 2.0 75.0 13.0 301.0 35.0
7 42.0 90.0 6.0 337.0 87.0
8 84.0 52.0 6.0 188.0 25.0
9 63.0 90.0 14.0 257.0 65.0
10 62.0 45.0 10.0 213.0 94.0
11 52.0 100.0 15.0 95.0 37.0
12 21.0 55.0 10.0 337.0 58.0
13 71.0 93.0 18.0 230.0 46.0
14 50.0 55.0 19.0 306.0 44.0
15 96.0 42.0 4.0 171.0 29.0
16 4.0 65.0 13.0 388.0 72.0
17 57.0 16.0 13.0 380.0 53.0
18 39.0 81.0 9.0 377.0 71.0
19 7.0 34.0 14.0 278.0 92.0
20 2.0 71.0 8.0 246.0 94.0
21 97.0 90.0 8.0 355.0 25.0
22 31.0 23.0 13.0 243.0 72.0
23 15.0 19.0 8.0 72.0 49.0
24 43.0 42.0 8.0 163.0 17.0
25 59.0 78.0 15.0 44.0 74.0
26 0.0 71.0 11.0 183.0 24.0
27 44.0 48.0 6.0 19.0 27.0
28 50.0 77.0 18.0 121.0 45.0
29 8.0 58.0 12.0 88.0 74.0
30 42.0 28.0 19.0 384.0 55.0
31 93.0 21.0 13.0 41.0 65.0
32 10.0 100.0 9.0 240.0 42.0
33 55.0 71.0 18.0 399.0 67.0
34 1.0 45.0 10.0 345.0 47.0
35 43.0 41.0 4.0 248.0 32.0
36 40.0 22.0 17.0 196.0 26.0
37 55.0 62.0 11.0 138.0 61.0
38 38.0 85.0 13.0 315.0 90.0
39 65.0 6.0 7.0 38.0 45.0
40 89.0 80.0 8.0 209.0 59.0
41 29.0 61.0 17.0 354.0 28.0
42 19.0 20.0 11.0 371.0 46.0
43 99.0 32.0 15.0 285.0 85.0
44 71.0 9.0 7.0 277.0 57.0
45 53.0 33.0 13.0 348.0 36.0
46 50.0 84.0 15.0 113.0 16.0
47 45.0 99.0 19.0 231.0 88.0
48 45.0 74.0 17.0 277.0 15.0
49 16.0 72.0 14.0 181.0 47.0
50 35.0 89.0 9.0 230.0 63.0
51 17.0 34.0 11.0 333.0 64.0
52 24.0 99.0 18.0 360.0 29.0
53 56.0 22.0 8.0 352.0 78.0
54 37.0 87.0 17.0 396.0 15.0
55 36.0 45.0 14.0 24.0 39.0
56 2.0 31.0 18.0 161.0 26.0
57 10.0 23.0 12.0 238.0 32.0
58 0.0 30.0 12.0 346.0 68.0
59 70.0 40.0 4.0 333.0 86.0
60 33.0 14.0 11.0 233.0 37.0
61 77.0 76.0 15.0 392.0 41.0
62 94.0 31.0 8.0 353.0 70.0
63 21.0 17.0 16.0 31.0 77.0
64 11.0 64.0 10.0 349.0 22.0
65 2.0 40.0 17.0 133.0 94.0
66 49.0 84.0 5.0 126.0 68.0
67 90.0 88.0 8.0 93.0 71.0
68 54.0 100.0 7.0 280.0 75.0
69 75.0 57.0 14.0 128.0 60.0
70 66.0 18.0 4.0 44.0 90.0
71 57.0 36.0 12.0 346.0 61.0
72 58.0 45.0 18.0 82.0 61.0
73 81.0 25.0 6.0 363.0 66.0
74 93.0 69.0 9.0 186.0 23.0
75 24.0 97.0 9.0 29.0 46.0
76 14.0 100.0 18.0 100.0 35.0
77 23.0 73.0 13.0 321.0 95.0
