2000
0 525.038 350.556 8 270 75 0
1 379.794 134.611 16 194 36 0
2 378.557 157.963 20 129 49 0
3 532.616 147.245 9 22 23 0
4 601.976 126.625 13 17 26 0
5 320.806 800.263 19 333 44 0
6 265.859 251.51 4 257 91 0
7 466.763 268.588 12 377 40 0
8 582.321 438.864 12 320 51 0
9 571.054 532.742 14 46 79 0
10 766.992 994.268 6 177 42 0
11 640.413 637.611 13 218 55 0
12 785.737 710.737 7 245 93 0
13 592.225 62.9791 14 73 76 0
14 752.339 963.476 15 101 25 0
15 97.0323 310.911 15 129 52 0
16 10.3113 733.754 18 394 92 0
17 785.237 859.169 9 61 85 0
18 984.892 307.112 8 350 64 0
19 516.217 627.358 19 105 27 0
20 736.522 539.597 7 244 77 0
21 162.673 930.631 12 328 84 0
22 546.455 356.755 20 362 70 0
23 645.458 155.744 15 190 34 0
24 707.769 348.538 16 288 27 0
25 867.567 733.304 5 63 87 0
26 519.601 951.876 9 194 47 0
27 274.066 813.974 7 165 88 0
28 88.5259 19.3036 13 168 17 0
29 933.348 962.853 11 271 29 0
30 226.293 132.589 14 150 46 0
31 992.535 179.074 11 242 89 0
32 448.298 188.867 15 57 24 0
33 485.599 144.766 17 229 51 0
34 908.787 14.877 14 239 44 0
35 563.076 780.782 6 33 56 0
36 107.945 333.274 13 269 56 0
37 728.623 47.852 19 261 91 0
38 440.9 368.183 12 34 42 0
39 255.457 197.74 10 195 43 0
40 363.107 573.735 19 399 90 0
41 139.17 660.758 13 62 43 0
42 898.727 592.248 11 354 24 0
43 287.585 15.592 19 104 33 0
44 4.94313 695.197 12 92 26 0
45 44.777 580.787 15 201 97 0
46 895.426 698.721 6 145 78 0
47 525.272 752.959 9 294 36 0
48 52.8177 457.574 17 230 37 0
49 702.004 856.274 7 52 23 0
50 519.09 651.831 15 52 94 0
51 441.989 585.468 8 94 92 0
52 538.264 412.038 6 314 49 0
53 32.4342 806.086 20 100 60 0
54 556.313 172.65 6 227 31 0
55 734.93 976.227 19 150 90 0
56 638.101 664.84 18 206 95 0
57 349.877 666.011 11 151 16 0
58 937.185 796.73 13 139 20 0
59 293.26 731.53 17 181 80 0
60 147.053 965.291 8 339 41 0
61 655.346 835.216 6 219 81 0
62 134.852 606.669 12 358 36 0
63 400.998 753.957 17 359 93 0
64 137.355 37.7707 15 58 95 0
65 459.081 3.66269 8 72 93 0
66 267.391 315.173 20 278 39 0
67 93.3549 539.011 6 262 90 0
68 824.777 477.693 9 68 45 0
69 501.073 618.341 16 130 31 0
70 706.014 234.803 14 248 82 0
71 653.212 199.123 13 70 78 0
72 699.657 958.482 17 232 83 0
73 44.4508 661.969 13 384 17 0
74 117.406 183.874 7 151 77 0
75 646.674 132.423 12 128 24 0
76 190.6 269.639 12 207 23 0
77 93.9227 758.548 12 286 66 0
78 903.038 402.208 7 360 28 0
79 929.153 509.429 8 329 55 0
80 114.189 50.8596 19 140 21 0
81 513.954 80.1086 20 19 83 0
82 719.507 29.3224 4 378 48 0
83 361.771 751.183 16 311 77 0
84 408.708 404.149 12 308 22 0
85 644.127 196.536 10 323 28 0
86 72.065 429.611 19 385 97 0
87 750.943 454.791 15 108 36 0
88 147.036 689.781 18 135 96 0
89 53.8893 205.084 4 165 72 0
90 292.598 450.057 9 194 15 0
91 172.572 254.7 7 141 57 0
92 941.133 165.041 18 310 23 0
93 582.67 903.876 5 385 89 0
94 696.207 919.372 11 162 59 0
95 851.587 413.14 13 120 56 0
96 470.393 311.495 17 182 40 0
97 34.3465 386.687 12 111 17 0
98 428.594 529.655 10 321 87 0
99 765.587 705.067 19 24 98 0
100 122.918 454.848 18 247 52 0
101 366.321 778.726 12 19 99 0
102 510.576 733.512 6 305 100 0
103 570.981 523.682 13 149 83 0
104 814.383 894.993 8 147 90 0
105 261.309 863.12 13 280 70 0
106 827.064 509.489 7 263 74 0
107 11.8959 473.574 16 85 75 0
108 422.759 243.974 7 73 27 0
109 38.1942 957.306 5 386 47 0
110 534.646 261.605 16 26 74 0
111 740.464 572.037 4 181 65 0
112 258.901 102.366 15 94 99 0
113 192.899 798.299 6 373 59 0
114 139.458 503.149 8 303 24 0
115 597.558 55.6324 8 159 70 0
116 640.609 448.709 12 334 46 0
117 846.839 316.404 14 187 50 0
118 242.129 384.883 8 130 96 0
119 47.9919 237.157 14 174 92 0
120 442.751 778.481 13 60 28 0
121 428.821 347.752 20 369 63 0
122 361.925 189.617 20 198 33 0
123 813.169 706.086 12 105 43 0
124 126.715 361.105 15 58 37 0
125 209.752 254.865 11 348 69 0
126 413.679 662.624 6 294 82 0
127 558.027 699.719 18 77 23 0
128 150.137 164.485 6 92 87 0
129 994.436 767.316 20 60 25 0
130 791.786 827.598 13 109 34 0
131 28.2761 797.368 12 385 20 0
132 256.221 467.93 4 50 48 0
133 622.353 887.046 14 189 44 0
134 230.302 180.874 20 222 35 0
135 608.679 537.4 4 21 20 0
136 54.01 547.983 15 266 83 0
137 46.129 751.592 4 93 23 0
138 973.058 631.46 10 298 38 0
139 687.75 290.317 10 339 95 0
140 345.046 80.0827 20 164 32 0
141 573.706 464.209 20 186 30 0
142 813.635 293.976 11 277 92 0
143 601.439 281.898 5 72 86 0
144 158.928 935.403 14 121 43 0
145 67.7867 511.383 9 296 44 0
146 944.106 142.978 12 87 22 0
147 222.581 619.816 15 383 31 0
148 60.0809 522.461 4 111 72 0
149 9.31759 819.87 12 265 52 0
150 383.185 901.921 7 357 57 0
151 80.9026 237.774 15 151 34 0
152 916.264 743.834 14 256 52 0
153 979.669 899.921 7 130 32 0
154 985.985 83.0591 20 371 50 0
155 868.85 906.418 7 237 54 0
156 736.261 24.8594 19 161 66 0
157 807.588 517.727 13 153 34 0
158 375.905 118.514 11 395 96 0
159 666.796 570.386 18 314 51 0
160 174.543 781.772 16 160 68 0
161 246.306 413.471 7 297 96 0
162 717.939 973.651 19 365 86 0
163 239.006 710.053 20 263 36 0
164 368.478 571.035 6 71 86 0
165 677.189 307.07 17 228 70 0
166 724.441 585.588 20 104 15 0
167 779.761 948.462 8 242 39 0
168 251.578 290.354 6 247 53 0
169 82.5325 297.386 14 288 43 0
170 520.779 742.654 4 256 70 0
171 819.525 898.435 18 312 28 0
172 997.425 932.653 19 41 89 0
173 548.749 239.297 7 111 68 0
174 525.487 562.876 8 82 51 0
175 112.205 229.626 17 109 100 0
176 521.789 33.4908 12 129 37 0
177 799.316 625.249 12 59 30 0
178 560.387 993.879 19 72 76 0
179 154.126 277.579 8 75 62 0
180 0.060509 450.556 20 306 22 0
181 429.581 431.434 6 57 61 0
182 150.079 466.792 20 98 75 0
183 808.709 696.858 15 84 22 0
184 217.583 804 16 331 56 0
185 462.757 835.694 16 67 55 0
186 799.565 838.68 12 385 47 0
187 2.55833 873.405 14 323 74 0
188 245.942 267.854 15 179 62 0
189 573.135 387.123 11 236 95 0
190 204.002 289.796 17 262 32 0
191 728.335 294.206 5 121 18 0
192 64.6391 79.5219 4 64 35 0
193 357.854 904.945 4 30 66 0
194 376.244 677.552 14 294 92 0
195 971.753 842.055 5 370 64 0
196 18.6428 113.331 10 41 42 0
197 122.698 191.174 12 19 98 0
198 99.2603 309.012 11 156 48 0
199 212.291 293.659 12 236 93 0
200 279.971 606.653 20 232 73 0
201 796.26 871.28 17 104 25 0
202 270.915 966.457 11 173 91 0
203 441.544 484.011 16 58 70 0
204 549.932 183.18 18 107 61 0
205 157.537 198.745 7 95 24 0
206 363.53 199.388 13 252 46 0
207 282.234 584.985 18 210 81 0
208 414.079 466.975 13 138 49 0
209 300.409 559.428 4 380 85 0
210 589.639 966.642 11 316 65 0
211 25.4522 216.273 14 233 89 0
212 657.205 527.304 13 277 19 0
213 479.133 194.368 15 62 45 0
214 384.053 854.473 19 294 89 0
215 427.558 182.971 7 158 94 0
216 52.2466 750.139 4 78 85 0
217 552.241 820.197 11 116 40 0
218 718.092 557.006 20 96 91 0
219 731.944 76.5592 9 240 66 0
220 517.151 330.278 10 176 18 0
221 372.025 380.141 12 172 79 0
