Iteration 0: BestViol=74690.2000 BestAff=3440 BestCompact=187490.36 CurScore=766009490.3609 BestScore=766009490.3609 Temp=38300474.52 NoImprove=0 Restarts=0 Time=0.00s
Iteration 1000: BestViol=57631.0525 BestAff=3733 BestCompact=193261.01 CurScore=605749898.7094 BestScore=597035286.0126 Temp=4213110.06 NoImprove=81 Restarts=1 Time=39.75s
Iteration 2000: BestViol=27614.0850 BestAff=3732 BestCompact=191412.95 CurScore=296858262.9461 BestScore=296858262.9461 Temp=28033.90 NoImprove=5 Restarts=1 Time=78.49s
Iteration 3000: BestViol=19316.4725 BestAff=3738 BestCompact=193745.73 CurScore=213917470.7316 BestScore=213917470.7316 Temp=186.54 NoImprove=2 Restarts=1 Time=99.97s
Iteration 4000: BestViol=18354.7650 BestAff=3743 BestCompact=193819.44 CurScore=204327969.4410 BestScore=204327969.4410 Temp=1.24 NoImprove=34 Restarts=1 Time=113.34s
Iteration 5000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=787846921.0367 BestScore=203757880.8553 Temp=5626485.07 NoImprove=385 Restarts=2 Time=133.14s
Iteration 6000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=630740005.5593 BestScore=203757880.8553 Temp=3247189.84 NoImprove=383 Restarts=4 Time=176.85s
Iteration 7000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=440617335.9561 BestScore=203757880.8553 Temp=3473864.67 NoImprove=381 Restarts=6 Time=215.44s
Iteration 8000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=1302843545.1524 BestScore=203757880.8553 Temp=7162726.91 NoImprove=379 Restarts=8 Time=251.53s
Iteration 9000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=766197793.4854 BestScore=203757880.8553 Temp=4182412.60 NoImprove=377 Restarts=10 Time=287.06s
Iteration 10000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=418978293.9115 BestScore=203757880.8553 Temp=3578725.06 NoImprove=375 Restarts=12 Time=318.10s
Iteration 11000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=695659650.3175 BestScore=203757880.8553 Temp=5005718.57 NoImprove=373 Restarts=14 Time=348.54s
Iteration 12000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=800271985.1988 BestScore=203757880.8553 Temp=3728362.94 NoImprove=371 Restarts=16 Time=389.69s
Iteration 13000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=377161747.4946 BestScore=203757880.8553 Temp=4496346.00 NoImprove=369 Restarts=18 Time=431.54s
Iteration 14000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=837658737.2535 BestScore=203757880.8553 Temp=6661574.89 NoImprove=367 Restarts=20 Time=469.19s
Iteration 15000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=524842779.0602 BestScore=203757880.8553 Temp=4772345.48 NoImprove=365 Restarts=22 Time=506.93s
Iteration 16000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=614153996.7759 BestScore=203757880.8553 Temp=4328954.87 NoImprove=363 Restarts=24 Time=538.05s
Iteration 17000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=888605465.7151 BestScore=203757880.8553 Temp=6220559.62 NoImprove=361 Restarts=26 Time=576.50s
Iteration 18000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=534649502.2536 BestScore=203757880.8553 Temp=3841748.16 NoImprove=359 Restarts=28 Time=616.13s
Iteration 19000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=753028397.4644 BestScore=203757880.8553 Temp=7753709.78 NoImprove=357 Restarts=30 Time=651.94s
Iteration 20000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=577752842.7085 BestScore=203757880.8553 Temp=4330795.85 NoImprove=355 Restarts=32 Time=690.31s
Iteration 21000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=760331602.2610 BestScore=203757880.8553 Temp=5674127.47 NoImprove=353 Restarts=34 Time=724.71s
Iteration 22000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=883849174.5139 BestScore=203757880.8553 Temp=5571962.54 NoImprove=351 Restarts=36 Time=757.55s
Iteration 23000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=354736605.0470 BestScore=203757880.8553 Temp=3004534.12 NoImprove=349 Restarts=38 Time=794.46s
Iteration 24000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=746756847.8594 BestScore=203757880.8553 Temp=7108140.61 NoImprove=347 Restarts=40 Time=826.79s
Iteration 25000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=798715700.1947 BestScore=203757880.8553 Temp=5438717.07 NoImprove=345 Restarts=42 Time=861.70s
Iteration 26000: BestViol=18297.7550 BestAff=3743 BestCompact=193830.86 CurScore=698163882.8577 BestScore=203757880.8553 Temp=5209476.68 NoImprove=343 Restarts=44 Time=898.43s
